,Title,Topics,Weakness,Review_Rating
36,Poisoning and Backdooring Contrastive Learning,Unclassified,Missing Related Work and Comparisons,8.0
37,ProtoRes: Proto-Residual Network for Pose Authoring via Learned Inverse Kinematics,Unclassified,Experimental Weaknesses and Limitations,7.0
38,Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
39,Pyraformer: Low-Complexity Pyramidal Attention for Long-Range Time Series Modeling and Forecasting,Transformers and Sequence Modeling,Clarity and Readability Issues,7.0
40,RISP: Rendering-Invariant State Predictor with Differentiable Simulation and Rendering for Cross-Domain Parameter Estimation,"Simulation, Planning, and Agents",Experimental Weaknesses and Limitations,8.0
41,Real-Time Neural Voice Camouflage,Audio and Speech Processing,Missing Related Work and Comparisons,8.0
42,Representational Continuity for Unsupervised Continual Learning,Unclassified,Missing Related Work and Comparisons,8.0
43,Resolving Training Biases via Influence-based Data Relabeling,Optimization and Training Techniques,Missing Related Work and Comparisons,7.0
44,Sparse Communication via Mixed Distributions,Biological Applications in AI,Clarity and Readability Issues,7.333333333333333
45,StyleAlign: Analysis and Applications of Aligned StyleGAN Models,Multitask and Transfer Learning,Clarity and Readability Issues,7.5
46,The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions,Optimization and Training Techniques,Methodological Concerns and Theoretical Justifications,8.0
47,The Information Geometry of Unsupervised Reinforcement Learning,Reinforcement Learning and Control,Missing Related Work and Comparisons,8.0
48,Transform2Act: Learning a Transform-and-Control Policy for Efficient Agent Design,Reinforcement Learning and Control,Missing Related Work and Comparisons,8.0
49,Understanding over-squashing and bottlenecks on graphs via curvature,Graph Neural Networks and Graph Theory,Clarity and Readability Issues,8.5
50,Unsupervised Vision-Language Grammar Induction with Shared Structure Modeling,Multimodal Learning and Vision-Language Models,Missing Related Work and Comparisons,8.0
51,Variational Inference for Discriminative Learning with Generative Modeling of Feature Incompletion,Diffusion Models and Generative Modeling,Clarity and Readability Issues,6.25
52,Vision-Based Manipulators Need to Also See from Their Hands,Reinforcement Learning and Control,Experimental Weaknesses and Limitations,8.0
53,Weighted Training for Cross-Task Learning,Optimization and Training Techniques,Clarity and Readability Issues,7.5
54,iLQR-VAE : control-based learning of input-driven dynamics with applications to neural data,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
